ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_SEKCJA NADRZĘDNA,ID_SEKCJA,NAZWA_SEKCJI,LP.,TREŚĆ
39,2023-01-01,5,4,7,1,char,4,char
47,2023-01-02,8,10,1,5,char,3,char
47,2023-01-03,6,5,2,8,char,1,char
92,2023-01-04,6,6,10,1,char,6,char
39,2023-01-05,8,6,9,2,char,6,char
27,2023-01-06,2,4,6,7,char,2,char
94,2023-01-07,2,8,2,3,char,8,char
94,2023-01-08,4,1,6,8,char,3,char
7,2023-01-09,5,4,10,9,char,6,char
89,2023-01-10,5,5,3,5,char,9,char
92,2023-01-11,6,2,5,7,char,2,char
94,2023-01-12,3,10,3,8,char,5,char
34,2023-01-13,3,6,9,7,char,9,char
93,2023-01-14,1,2,2,3,char,7,char
19,2023-01-15,3,8,1,8,char,2,char
52,2023-01-16,6,8,7,4,char,5,char
40,2023-01-17,7,4,5,1,char,3,char
25,2023-01-18,5,8,7,8,char,5,char
42,2023-01-19,8,7,10,5,char,2,char
75,2023-01-20,9,2,6,10,char,10,char
92,2023-01-21,10,3,3,1,char,1,char
83,2023-01-22,4,9,1,9,char,3,char
81,2023-01-23,7,8,5,4,char,3,char
89,2023-01-24,3,6,9,3,char,6,char
14,2023-01-25,7,5,10,8,char,6,char
63,2023-01-26,4,5,4,8,char,7,char
44,2023-01-27,8,4,5,3,char,10,char
30,2023-01-28,7,6,8,9,char,5,char
70,2023-01-29,1,3,8,4,char,4,char
77,2023-01-30,3,2,6,3,char,3,char
52,2023-01-31,8,4,5,9,char,1,char
