ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_PYTANIA,CZY WYSTĄPIŁ KLUCZ (0/1),LICZBA WYSTĄPIEŃ KLUCZY
13,2023-01-01,1,2,3,1,5
71,2023-01-02,4,7,1,1,7
86,2023-01-03,3,6,1,1,5
30,2023-01-04,3,8,6,0,5
61,2023-01-05,6,7,2,1,7
37,2023-01-06,3,6,9,0,10
51,2023-01-07,7,8,1,1,9
59,2023-01-08,7,9,7,0,2
77,2023-01-09,3,8,2,1,2
3,2023-01-10,3,3,2,1,10
70,2023-01-11,5,4,4,1,9
89,2023-01-12,2,3,9,1,2
81,2023-01-13,3,8,3,1,4
32,2023-01-14,1,6,9,0,9
15,2023-01-15,1,2,9,1,6
74,2023-01-16,2,3,6,1,8
26,2023-01-17,1,5,3,0,8
97,2023-01-18,4,2,6,0,1
53,2023-01-19,4,8,9,0,8
21,2023-01-20,2,2,7,1,6
68,2023-01-21,1,4,5,1,8
83,2023-01-22,4,10,4,0,5
38,2023-01-23,9,8,10,1,8
91,2023-01-24,10,1,10,1,9
44,2023-01-25,10,2,6,1,5
24,2023-01-26,6,7,5,0,10
32,2023-01-27,4,5,7,1,4
60,2023-01-28,2,5,3,1,6
97,2023-01-29,1,3,8,0,7
27,2023-01-30,6,8,10,0,6
74,2023-01-31,10,10,5,0,7
