ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,FORMULARZ,WIERSZ,KOLUMNA,TRZECI WYMIAR KRAJ,WARTOŚĆ
64,2023-01-01,7,6,char,char,char,char,93.6984568369104
50,2023-01-02,5,5,char,char,char,char,68.05982860736124
43,2023-01-03,3,9,char,char,char,char,29.011711883674643
69,2023-01-04,6,4,char,char,char,char,86.18765852011173
86,2023-01-05,5,9,char,char,char,char,83.33939681052783
79,2023-01-06,10,10,char,char,char,char,69.05304252963869
71,2023-01-07,3,2,char,char,char,char,57.46871934162198
4,2023-01-08,8,6,char,char,char,char,95.69544541078571
6,2023-01-09,7,5,char,char,char,char,88.694495179328
3,2023-01-10,3,8,char,char,char,char,99.40000920395825
75,2023-01-11,5,8,char,char,char,char,98.5939030945166
27,2023-01-12,7,2,char,char,char,char,82.20246185901091
4,2023-01-13,5,10,char,char,char,char,11.318779857778285
72,2023-01-14,6,8,char,char,char,char,68.89625323825538
3,2023-01-15,9,2,char,char,char,char,62.44772850674724
44,2023-01-16,5,9,char,char,char,char,30.278997591537657
12,2023-01-17,3,2,char,char,char,char,40.340263309521646
92,2023-01-18,4,10,char,char,char,char,18.35004442328685
70,2023-01-19,8,10,char,char,char,char,52.47972177527848
49,2023-01-20,10,7,char,char,char,char,38.877166102113144
69,2023-01-21,9,5,char,char,char,char,91.37800768813112
38,2023-01-22,10,9,char,char,char,char,15.929914216304109
8,2023-01-23,2,1,char,char,char,char,30.52890243562317
52,2023-01-24,10,3,char,char,char,char,38.989112209907546
78,2023-01-25,1,5,char,char,char,char,71.90158576229858
97,2023-01-26,1,8,char,char,char,char,99.29436646674657
41,2023-01-27,10,6,char,char,char,char,27.090909059115546
12,2023-01-28,6,7,char,char,char,char,24.940780199462573
3,2023-01-29,6,2,char,char,char,char,98.12647527145242
43,2023-01-30,4,10,char,char,char,char,61.017113891752864
88,2023-01-31,9,8,char,char,char,char,52.567230144362064
