ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_SEKCJA NADRZĘDNA,ID_SEKCJA,NAZWA_SEKCJI,LP.,TREŚĆ
78,2023-01-01,2,8,2,9,char,9,char
13,2023-01-02,5,9,4,2,char,5,char
36,2023-01-03,4,3,5,1,char,8,char
76,2023-01-04,8,4,5,3,char,7,char
85,2023-01-05,3,10,4,6,char,4,char
30,2023-01-06,2,3,4,1,char,5,char
50,2023-01-07,9,10,8,1,char,10,char
27,2023-01-08,1,4,2,7,char,8,char
58,2023-01-09,9,2,5,7,char,4,char
45,2023-01-10,6,3,5,9,char,2,char
65,2023-01-11,6,3,10,8,char,4,char
84,2023-01-12,4,3,6,7,char,5,char
64,2023-01-13,4,10,2,1,char,6,char
24,2023-01-14,1,7,7,8,char,6,char
57,2023-01-15,2,9,2,2,char,8,char
81,2023-01-16,2,10,4,7,char,10,char
55,2023-01-17,3,6,2,5,char,10,char
41,2023-01-18,7,10,1,10,char,9,char
91,2023-01-19,1,1,1,8,char,9,char
55,2023-01-20,8,3,1,10,char,10,char
50,2023-01-21,3,4,7,6,char,3,char
50,2023-01-22,4,2,6,9,char,3,char
97,2023-01-23,5,8,3,2,char,10,char
32,2023-01-24,9,3,10,4,char,5,char
62,2023-01-25,3,4,4,1,char,7,char
3,2023-01-26,1,8,4,6,char,9,char
63,2023-01-27,8,8,9,6,char,3,char
74,2023-01-28,7,4,8,4,char,6,char
7,2023-01-29,8,5,6,9,char,1,char
26,2023-01-30,2,5,4,1,char,8,char
21,2023-01-31,8,1,4,7,char,4,char
