ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,FORMULARZ,WIERSZ,KOLUMNA,TRZECI WYMIAR KRAJ,WARTOŚĆ
74,2023-01-01,7,7,char,char,char,char,61.349341036522695
93,2023-01-02,6,8,char,char,char,char,85.06114492873296
35,2023-01-03,4,9,char,char,char,char,69.40534475764719
96,2023-01-04,2,7,char,char,char,char,3.267214976272786
40,2023-01-05,9,2,char,char,char,char,60.511553242621915
22,2023-01-06,2,3,char,char,char,char,38.2990678297074
76,2023-01-07,2,1,char,char,char,char,56.808998584916885
73,2023-01-08,5,5,char,char,char,char,61.425990640618295
45,2023-01-09,6,1,char,char,char,char,31.467150350836995
5,2023-01-10,5,1,char,char,char,char,93.89928763626581
72,2023-01-11,8,8,char,char,char,char,44.43460226914422
94,2023-01-12,8,2,char,char,char,char,14.99060051738441
9,2023-01-13,3,3,char,char,char,char,62.11576720055707
97,2023-01-14,5,5,char,char,char,char,43.36034603089103
53,2023-01-15,4,6,char,char,char,char,2.5403236772136677
27,2023-01-16,6,4,char,char,char,char,77.27134535374265
23,2023-01-17,2,1,char,char,char,char,24.738710984818734
47,2023-01-18,7,5,char,char,char,char,51.7324974984442
74,2023-01-19,7,4,char,char,char,char,86.56584177482571
22,2023-01-20,2,8,char,char,char,char,73.98773354838788
63,2023-01-21,2,3,char,char,char,char,11.165739663844503
93,2023-01-22,9,6,char,char,char,char,84.29587582918599
39,2023-01-23,10,6,char,char,char,char,60.55669222251136
3,2023-01-24,2,4,char,char,char,char,54.77884736439364
65,2023-01-25,1,1,char,char,char,char,87.51400972948956
85,2023-01-26,8,9,char,char,char,char,3.0022794605084635
14,2023-01-27,7,1,char,char,char,char,63.649519056003776
69,2023-01-28,3,10,char,char,char,char,37.801969969175026
32,2023-01-29,6,6,char,char,char,char,5.309144674643463
91,2023-01-30,8,7,char,char,char,char,29.90657907221655
4,2023-01-31,8,5,char,char,char,char,55.558497850164514
