ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_PYTANIA,CZY WYSTĄPIŁ KLUCZ (0/1),LICZBA WYSTĄPIEŃ KLUCZY
57,2023-01-01,6,6,2,0,8
81,2023-01-02,8,2,3,0,2
62,2023-01-03,1,7,1,1,2
87,2023-01-04,7,10,8,0,1
12,2023-01-05,7,1,8,1,3
43,2023-01-06,2,5,1,1,4
66,2023-01-07,4,8,3,0,9
77,2023-01-08,10,3,10,0,8
34,2023-01-09,1,1,6,1,4
75,2023-01-10,1,8,1,0,8
85,2023-01-11,6,6,8,0,10
13,2023-01-12,2,8,5,1,1
31,2023-01-13,9,5,2,1,10
85,2023-01-14,1,7,2,0,4
98,2023-01-15,10,5,9,1,7
69,2023-01-16,7,2,5,0,2
5,2023-01-17,9,4,6,0,6
42,2023-01-18,7,7,7,0,9
5,2023-01-19,6,3,6,1,3
53,2023-01-20,9,6,1,0,7
87,2023-01-21,10,9,4,0,8
61,2023-01-22,1,3,2,1,6
27,2023-01-23,10,4,6,0,2
87,2023-01-24,6,3,8,0,10
8,2023-01-25,6,1,2,1,9
27,2023-01-26,5,6,5,0,1
94,2023-01-27,4,5,7,1,1
80,2023-01-28,3,10,1,1,7
39,2023-01-29,2,7,7,0,9
75,2023-01-30,6,9,6,0,3
24,2023-01-31,6,6,4,1,9
