ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,FORMULARZ,WIERSZ,KOLUMNA,TRZECI WYMIAR KRAJ,WARTOŚĆ
9,2023-01-01,4,3,char,char,char,char,1.487543548096627
54,2023-01-02,10,4,char,char,char,char,41.92588351818152
70,2023-01-03,3,9,char,char,char,char,39.24204484343989
99,2023-01-04,7,6,char,char,char,char,49.08979335810178
43,2023-01-05,4,2,char,char,char,char,2.580793553894806
21,2023-01-06,2,2,char,char,char,char,28.855414903159563
14,2023-01-07,2,10,char,char,char,char,37.58240117619214
55,2023-01-08,4,7,char,char,char,char,82.83447256109604
1,2023-01-09,10,9,char,char,char,char,99.25189994242628
90,2023-01-10,5,9,char,char,char,char,55.08186454845431
44,2023-01-11,6,9,char,char,char,char,6.341454610721328
26,2023-01-12,10,6,char,char,char,char,97.55790430894356
42,2023-01-13,3,7,char,char,char,char,22.256287172161034
30,2023-01-14,4,4,char,char,char,char,3.6714485944172
86,2023-01-15,3,7,char,char,char,char,54.13762777224709
23,2023-01-16,9,8,char,char,char,char,50.64737592196793
97,2023-01-17,2,8,char,char,char,char,6.483404448362084
86,2023-01-18,10,1,char,char,char,char,68.72432433384691
33,2023-01-19,7,4,char,char,char,char,33.41292035948054
22,2023-01-20,3,4,char,char,char,char,41.53470805027156
11,2023-01-21,2,9,char,char,char,char,55.48098187060266
94,2023-01-22,3,7,char,char,char,char,1.6545403827135743
1,2023-01-23,5,1,char,char,char,char,65.93309886166408
37,2023-01-24,8,3,char,char,char,char,99.29805118777021
77,2023-01-25,1,8,char,char,char,char,86.091133918072
76,2023-01-26,3,1,char,char,char,char,89.06763134610699
64,2023-01-27,2,2,char,char,char,char,40.459136350101296
30,2023-01-28,5,7,char,char,char,char,87.57379444173174
89,2023-01-29,6,3,char,char,char,char,71.86299495138698
78,2023-01-30,3,1,char,char,char,char,43.05941966179931
81,2023-01-31,1,8,char,char,char,char,90.3266945386284
