ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_SEKCJA NADRZĘDNA,ID_SEKCJA,NAZWA_SEKCJI,LP.,TREŚĆ
79,2023-01-01,8,6,8,2,char,10,char
32,2023-01-02,2,8,7,5,char,2,char
8,2023-01-03,9,10,7,6,char,10,char
12,2023-01-04,6,10,6,9,char,1,char
12,2023-01-05,3,2,10,8,char,6,char
12,2023-01-06,5,9,5,4,char,5,char
10,2023-01-07,2,8,10,8,char,2,char
99,2023-01-08,5,10,8,10,char,1,char
46,2023-01-09,6,10,5,8,char,4,char
53,2023-01-10,9,9,6,8,char,10,char
72,2023-01-11,4,1,4,7,char,6,char
2,2023-01-12,8,9,9,8,char,9,char
87,2023-01-13,8,2,4,4,char,9,char
88,2023-01-14,2,9,2,2,char,5,char
12,2023-01-15,6,10,7,10,char,7,char
79,2023-01-16,10,3,8,9,char,4,char
17,2023-01-17,1,9,6,5,char,6,char
80,2023-01-18,10,2,9,7,char,2,char
59,2023-01-19,10,8,8,6,char,5,char
27,2023-01-20,4,7,7,10,char,6,char
91,2023-01-21,3,5,2,8,char,5,char
24,2023-01-22,4,6,7,6,char,5,char
5,2023-01-23,9,5,3,1,char,6,char
99,2023-01-24,5,10,2,1,char,4,char
5,2023-01-25,2,6,4,1,char,8,char
33,2023-01-26,9,8,2,3,char,7,char
68,2023-01-27,1,3,3,2,char,9,char
78,2023-01-28,9,9,9,7,char,2,char
96,2023-01-29,5,6,7,3,char,5,char
78,2023-01-30,1,2,4,7,char,6,char
10,2023-01-31,6,3,7,4,char,10,char
