ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_PYTANIA,CZY WYSTĄPIŁ KLUCZ (0/1),LICZBA WYSTĄPIEŃ KLUCZY
14,2023-01-01,6,6,1,1,3
52,2023-01-02,2,3,9,1,6
21,2023-01-03,7,9,6,0,8
49,2023-01-04,3,1,7,1,5
30,2023-01-05,2,6,6,0,9
74,2023-01-06,3,8,2,1,5
49,2023-01-07,2,2,7,0,8
9,2023-01-08,5,7,10,0,8
79,2023-01-09,8,6,8,1,4
8,2023-01-10,8,1,9,1,10
44,2023-01-11,4,8,5,1,4
48,2023-01-12,1,3,3,1,7
69,2023-01-13,7,4,7,1,9
13,2023-01-14,5,8,8,1,9
100,2023-01-15,5,10,1,1,5
7,2023-01-16,5,4,4,1,7
14,2023-01-17,2,10,2,1,6
72,2023-01-18,8,5,6,1,7
54,2023-01-19,10,3,7,0,7
36,2023-01-20,5,8,5,0,7
42,2023-01-21,3,6,10,0,4
35,2023-01-22,2,3,5,1,6
4,2023-01-23,6,6,6,1,1
80,2023-01-24,1,9,1,1,1
81,2023-01-25,4,1,1,0,6
28,2023-01-26,9,6,1,1,2
74,2023-01-27,2,4,5,1,5
2,2023-01-28,8,10,9,1,6
40,2023-01-29,8,10,9,0,7
9,2023-01-30,9,10,4,1,8
71,2023-01-31,1,4,3,0,10
