DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
31.12.2016;1;1;1;0;0;163
31.12.2016;1;1;2;0;0;163
31.12.2016;1;1;3;0;0;163
31.12.2016;1;1;4;0;0;163
31.12.2016;1;1;5;0;0;163
31.12.2016;1;1;6;0;0;163
31.12.2016;1;1;7;0;0;163
31.12.2016;1;1;8;0;0;163
31.12.2016;1;1;9;0;0;163
31.12.2016;1;1;10;0;0;163
31.12.2016;1;1;11;1;7;163
31.12.2016;1;1;12;0;0;163
31.12.2016;1;1;13;0;0;163
31.12.2016;1;1;14;0;0;163
31.12.2016;1;1;15;1;91;163
31.12.2016;1;1;16;1;4;163
31.12.2016;1;1;17;0;0;163
31.12.2016;1;1;18;1;2;163
31.12.2016;1;1;19;1;1;163
31.12.2016;1;1;20;0;0;163
31.12.2016;1;1;21;1;1;163
31.12.2016;1;1;22;1;5;163
31.12.2016;1;1;23;1;5;163
31.12.2016;1;1;24;0;0;163
31.12.2016;1;1;25;0;0;163
31.12.2016;1;1;26;0;0;163
31.12.2016;1;1;27;1;3;163
31.12.2016;1;1;28;1;5;163
31.12.2016;1;1;29;1;12;163
31.12.2016;1;1;30;1;3;163
31.12.2016;1;1;31;0;0;163
31.12.2016;1;1;32;1;35;163
31.12.2016;1;1;33;0;0;163
31.12.2016;1;1;34;0;0;163
31.12.2016;1;1;35;1;2;163
31.12.2016;1;1;36;0;0;163
31.12.2016;1;1;37;0;0;163
31.12.2016;1;1;38;0;0;163
31.12.2016;1;1;41;0;0;163
31.12.2016;1;1;42;1;1;163
31.12.2016;1;1;44;1;4;163
31.12.2016;1;1;45;1;3;163
31.12.2016;1;1;46;0;0;163
31.12.2016;1;1;48;0;0;163
31.12.2016;1;1;49;0;0;163
31.12.2016;1;1;50;0;0;163
31.12.2016;1;1;51;0;0;163
31.12.2016;1;1;52;0;0;163
31.12.2016;1;1;53;0;0;163
31.12.2016;1;1;54;0;0;163
31.12.2016;1;1;55;0;0;163
31.12.2016;1;1;56;0;0;163
31.12.2016;1;1;57;0;0;163
31.12.2016;1;1;58;0;0;163
31.12.2016;1;1;59;0;0;163
31.12.2016;1;1;60;0;0;163
31.12.2016;1;1;61;1;1;163
31.12.2016;1;1;69;0;0;163
31.12.2016;1;1;70;0;0;163
31.12.2016;1;1;71;0;0;163
31.12.2016;1;1;72;0;0;163
31.12.2016;1;1;73;0;0;163
31.12.2016;1;1;74;0;0;163
31.12.2016;1;1;75;0;0;163
31.12.2016;1;1;76;0;0;163
31.12.2016;1;1;77;0;0;163
31.12.2016;1;1;78;0;0;163
31.12.2016;1;1;79;0;0;163
31.12.2016;1;1;80;0;0;163
31.12.2016;1;1;81;0;0;163
31.12.2016;1;1;82;0;0;163
31.12.2016;1;1;90;1;3;163
31.12.2016;1;1;91;1;5;163
31.12.2016;1;1;92;1;4;163
31.12.2016;1;1;93;1;3;163
31.12.2016;1;1;94;0;0;163
31.12.2016;1;1;95;0;0;163
31.12.2016;1;1;96;1;83;163
31.12.2016;1;1;97;0;0;163
31.12.2016;1;1;98;0;0;163
31.12.2016;1;1;99;1;3;163
31.12.2016;1;1;100;0;0;163
31.12.2016;1;1;101;1;8;163
31.12.2016;1;1;102;0;0;163
31.12.2016;1;1;103;1;5;163
31.12.2016;1;1;104;0;0;163
31.12.2016;1;1;105;0;0;163
31.12.2016;1;1;106;0;0;163
31.12.2016;1;1;107;0;0;163
31.12.2016;1;1;108;0;0;163
31.12.2016;1;1;109;0;0;163
31.12.2016;1;1;110;0;0;163
31.12.2016;1;1;111;0;0;163
31.12.2016;1;1;112;1;3;163
31.12.2016;1;1;113;1;1;163
31.12.2016;1;1;114;1;3;163
31.12.2016;1;1;115;1;1;163
31.12.2016;1;1;116;1;2;163
31.12.2016;1;1;117;0;0;163
31.12.2016;1;1;118;0;0;163
31.12.2016;1;1;119;1;2;163
31.12.2016;1;1;120;1;2;163
31.12.2016;1;1;121;1;4;163
31.12.2016;1;1;123;0;0;163
31.12.2016;1;1;124;0;0;163
31.12.2016;1;1;125;0;0;163
31.12.2016;1;1;126;0;0;163
31.12.2016;1;1;127;0;0;163
31.12.2016;1;1;128;0;0;163
31.12.2016;1;1;129;1;31;163
31.12.2016;1;1;130;0;0;163
31.12.2016;1;1;131;0;0;163
31.12.2016;1;1;132;0;0;163
31.12.2016;1;1;133;0;0;163
31.12.2016;1;1;134;0;0;163
31.12.2016;1;1;135;0;0;163
31.12.2016;1;1;136;0;0;163
31.12.2016;1;1;137;0;0;163
31.12.2016;1;1;138;0;0;163
31.12.2016;1;1;139;0;0;163
31.12.2016;1;1;140;0;0;163
31.12.2016;1;1;141;0;0;163
31.12.2016;1;1;142;0;0;163
31.12.2016;1;1;143;0;0;163
31.12.2016;1;1;144;0;0;163
31.12.2016;1;1;145;1;6;163
31.12.2016;1;1;146;0;0;163
31.12.2016;1;1;147;0;0;163
31.12.2016;1;1;148;1;2;163
31.12.2016;1;1;149;1;1;163
31.12.2016;1;1;150;0;0;163
31.12.2016;1;1;151;0;0;163
31.12.2016;1;1;152;1;56;163
31.12.2016;1;1;167;0;0;163
