ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,FORMULARZ,WIERSZ,KOLUMNA,TRZECI WYMIAR KRAJ,WARTOŚĆ
36,2023-01-01,5,5,char,char,char,char,9.295883668664635
57,2023-01-02,4,3,char,char,char,char,96.11410808221088
50,2023-01-03,1,10,char,char,char,char,25.48547552272502
89,2023-01-04,7,9,char,char,char,char,24.186276715463375
99,2023-01-05,5,4,char,char,char,char,37.47027437711499
66,2023-01-06,9,8,char,char,char,char,6.538485778725423
32,2023-01-07,5,7,char,char,char,char,73.91842097427785
27,2023-01-08,10,9,char,char,char,char,35.32262237362962
78,2023-01-09,9,2,char,char,char,char,72.03547906228575
13,2023-01-10,10,3,char,char,char,char,44.03436824540908
38,2023-01-11,6,10,char,char,char,char,21.1638680918676
63,2023-01-12,7,5,char,char,char,char,6.728906759991681
82,2023-01-13,6,5,char,char,char,char,90.57763205819323
1,2023-01-14,10,4,char,char,char,char,59.23253337206364
100,2023-01-15,6,6,char,char,char,char,47.199400963223745
20,2023-01-16,9,7,char,char,char,char,68.19812914353
22,2023-01-17,4,2,char,char,char,char,78.10251213738503
53,2023-01-18,10,7,char,char,char,char,75.59553158147055
43,2023-01-19,1,10,char,char,char,char,23.677486880796486
23,2023-01-20,1,4,char,char,char,char,57.136426472842835
57,2023-01-21,5,10,char,char,char,char,97.93281260934758
91,2023-01-22,7,4,char,char,char,char,16.61910319051387
59,2023-01-23,1,9,char,char,char,char,94.72441656397811
75,2023-01-24,6,5,char,char,char,char,34.98150751258188
84,2023-01-25,4,9,char,char,char,char,86.22612558207365
28,2023-01-26,7,8,char,char,char,char,88.38687629926301
5,2023-01-27,1,3,char,char,char,char,93.00843938335184
85,2023-01-28,10,1,char,char,char,char,43.10906605290238
5,2023-01-29,5,1,char,char,char,char,4.92588367889225
47,2023-01-30,2,5,char,char,char,char,87.37095383941288
44,2023-01-31,4,1,char,char,char,char,65.33129984982374
