ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_PYTANIA,CZY WYSTĄPIŁ KLUCZ (0/1),LICZBA WYSTĄPIEŃ KLUCZY
88,2023-01-01,7,5,9,0,1
74,2023-01-02,8,2,7,1,10
95,2023-01-03,10,5,4,1,5
31,2023-01-04,6,9,10,1,4
91,2023-01-05,6,5,3,1,9
65,2023-01-06,6,3,3,1,7
67,2023-01-07,6,7,1,0,7
23,2023-01-08,4,1,9,0,1
82,2023-01-09,10,5,8,1,1
5,2023-01-10,6,4,2,0,3
55,2023-01-11,10,9,8,1,7
85,2023-01-12,2,4,6,1,7
25,2023-01-13,6,9,3,1,2
57,2023-01-14,1,3,3,0,10
60,2023-01-15,7,7,6,1,10
96,2023-01-16,8,10,10,1,1
52,2023-01-17,9,10,7,1,9
24,2023-01-18,5,5,2,1,8
13,2023-01-19,9,7,10,0,5
84,2023-01-20,6,6,10,0,2
49,2023-01-21,9,8,3,0,3
35,2023-01-22,2,10,10,1,3
36,2023-01-23,1,2,6,1,2
52,2023-01-24,1,3,2,0,8
80,2023-01-25,4,1,9,1,5
86,2023-01-26,10,4,7,1,5
74,2023-01-27,2,10,5,0,10
49,2023-01-28,1,5,6,1,5
97,2023-01-29,1,7,8,0,5
75,2023-01-30,6,2,2,0,3
78,2023-01-31,6,9,2,0,8
