ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_SEKCJA NADRZĘDNA,ID_SEKCJA,NAZWA_SEKCJI,LP.,TREŚĆ
100,2023-01-01,6,3,5,2,char,3,char
17,2023-01-02,9,7,3,5,char,8,char
36,2023-01-03,10,3,9,6,char,6,char
50,2023-01-04,3,4,4,8,char,6,char
97,2023-01-05,4,4,1,4,char,2,char
3,2023-01-06,8,9,6,2,char,4,char
75,2023-01-07,7,6,2,4,char,4,char
76,2023-01-08,3,5,6,10,char,4,char
17,2023-01-09,8,1,5,3,char,3,char
27,2023-01-10,3,2,2,3,char,3,char
13,2023-01-11,9,4,7,7,char,6,char
25,2023-01-12,8,7,1,2,char,4,char
43,2023-01-13,6,1,9,5,char,8,char
27,2023-01-14,1,9,1,9,char,8,char
67,2023-01-15,6,8,1,2,char,10,char
65,2023-01-16,4,10,1,4,char,1,char
35,2023-01-17,9,8,7,3,char,5,char
84,2023-01-18,2,1,3,7,char,9,char
44,2023-01-19,1,3,1,10,char,3,char
31,2023-01-20,3,4,8,2,char,1,char
88,2023-01-21,8,1,1,8,char,9,char
11,2023-01-22,1,3,4,10,char,1,char
72,2023-01-23,4,4,1,8,char,2,char
46,2023-01-24,9,7,10,6,char,7,char
36,2023-01-25,3,4,8,1,char,4,char
31,2023-01-26,8,9,6,9,char,2,char
66,2023-01-27,8,9,4,1,char,6,char
97,2023-01-28,2,1,9,1,char,1,char
92,2023-01-29,4,6,2,4,char,5,char
53,2023-01-30,10,5,7,5,char,8,char
13,2023-01-31,5,7,7,7,char,8,char
