ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_PYTANIA,CZY WYSTĄPIŁ KLUCZ (0/1),LICZBA WYSTĄPIEŃ KLUCZY
65,2023-01-01,8,1,6,0,2
33,2023-01-02,2,3,10,1,2
70,2023-01-03,6,6,6,0,3
56,2023-01-04,4,7,6,1,2
78,2023-01-05,3,2,5,1,3
9,2023-01-06,2,5,4,1,7
84,2023-01-07,8,3,7,0,9
60,2023-01-08,4,3,6,0,2
80,2023-01-09,10,9,7,0,8
4,2023-01-10,2,5,7,0,2
33,2023-01-11,7,8,10,0,6
4,2023-01-12,10,1,4,0,5
64,2023-01-13,1,2,5,1,1
56,2023-01-14,1,6,3,1,5
90,2023-01-15,10,2,8,0,5
78,2023-01-16,1,4,2,0,10
16,2023-01-17,1,4,6,0,6
55,2023-01-18,3,8,5,1,7
69,2023-01-19,8,8,10,1,5
81,2023-01-20,8,6,4,1,1
62,2023-01-21,2,4,6,0,9
21,2023-01-22,9,3,8,1,1
42,2023-01-23,2,5,6,1,8
25,2023-01-24,10,5,4,0,8
51,2023-01-25,7,2,2,0,9
93,2023-01-26,7,9,10,0,3
39,2023-01-27,6,7,8,1,10
44,2023-01-28,2,9,2,1,7
86,2023-01-29,5,9,10,0,10
60,2023-01-30,4,5,2,0,7
68,2023-01-31,2,8,4,1,10
