ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_SEKCJA NADRZĘDNA,ID_SEKCJA,NAZWA_SEKCJI,LP.,TREŚĆ
39,2023-01-01,8,8,4,6,char,7,char
7,2023-01-02,4,1,8,4,char,10,char
40,2023-01-03,2,7,6,4,char,4,char
86,2023-01-04,9,5,7,9,char,5,char
5,2023-01-05,3,3,2,8,char,3,char
49,2023-01-06,3,2,5,7,char,9,char
86,2023-01-07,9,6,7,5,char,10,char
69,2023-01-08,4,9,6,5,char,8,char
48,2023-01-09,1,5,1,8,char,4,char
31,2023-01-10,6,8,10,8,char,10,char
55,2023-01-11,10,3,3,5,char,1,char
58,2023-01-12,6,5,2,1,char,3,char
26,2023-01-13,2,4,7,7,char,6,char
65,2023-01-14,7,7,1,10,char,2,char
2,2023-01-15,5,3,3,9,char,4,char
38,2023-01-16,1,1,2,7,char,4,char
11,2023-01-17,4,2,4,9,char,7,char
72,2023-01-18,4,6,7,2,char,5,char
94,2023-01-19,4,4,6,4,char,3,char
47,2023-01-20,2,5,5,7,char,2,char
17,2023-01-21,10,10,5,2,char,9,char
3,2023-01-22,3,2,3,4,char,1,char
56,2023-01-23,5,4,7,9,char,9,char
97,2023-01-24,3,3,5,7,char,8,char
78,2023-01-25,9,3,8,4,char,1,char
64,2023-01-26,7,5,9,8,char,6,char
58,2023-01-27,7,7,2,8,char,1,char
89,2023-01-28,8,5,5,8,char,9,char
84,2023-01-29,4,1,9,10,char,6,char
88,2023-01-30,3,10,2,10,char,10,char
76,2023-01-31,1,5,10,2,char,7,char
