ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,FORMULARZ,WIERSZ,KOLUMNA,TRZECI WYMIAR KRAJ,WARTOŚĆ
90,2023-01-01,2,5,char,char,char,char,36.62825609042832
79,2023-01-02,2,5,char,char,char,char,8.732960767591873
66,2023-01-03,8,2,char,char,char,char,32.22272758916018
95,2023-01-04,6,7,char,char,char,char,67.50199091448864
83,2023-01-05,8,1,char,char,char,char,55.05035474674111
53,2023-01-06,6,10,char,char,char,char,65.73051298441881
46,2023-01-07,9,2,char,char,char,char,41.17613975652525
11,2023-01-08,6,4,char,char,char,char,71.01344864398426
46,2023-01-09,5,6,char,char,char,char,92.84654623436529
1,2023-01-10,7,2,char,char,char,char,48.47562025401642
27,2023-01-11,5,7,char,char,char,char,57.071226561340076
93,2023-01-12,2,9,char,char,char,char,50.72746673401488
35,2023-01-13,8,10,char,char,char,char,64.50747497083827
77,2023-01-14,3,4,char,char,char,char,7.377327609769265
95,2023-01-15,7,2,char,char,char,char,80.98744837101803
70,2023-01-16,5,10,char,char,char,char,62.584576223376224
21,2023-01-17,4,1,char,char,char,char,22.705115706561106
81,2023-01-18,4,9,char,char,char,char,60.940536688436964
88,2023-01-19,10,9,char,char,char,char,87.53861878593294
19,2023-01-20,1,3,char,char,char,char,91.24985703853672
27,2023-01-21,1,3,char,char,char,char,6.19831695609189
73,2023-01-22,7,7,char,char,char,char,71.08524587902637
1,2023-01-23,1,6,char,char,char,char,28.443205316993684
4,2023-01-24,5,4,char,char,char,char,88.40035173099507
68,2023-01-25,4,9,char,char,char,char,87.67649089387605
62,2023-01-26,1,2,char,char,char,char,66.84252675501378
12,2023-01-27,5,5,char,char,char,char,97.58927083167792
74,2023-01-28,2,6,char,char,char,char,37.10765498014431
2,2023-01-29,9,2,char,char,char,char,29.6398985439395
44,2023-01-30,7,5,char,char,char,char,8.524892116138272
76,2023-01-31,2,8,char,char,char,char,52.19664359760868
