ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_PYTANIA,CZY WYSTĄPIŁ KLUCZ (0/1),LICZBA WYSTĄPIEŃ KLUCZY
73,2023-01-01,8,10,3,0,8
9,2023-01-02,2,1,8,0,8
6,2023-01-03,3,10,6,0,7
89,2023-01-04,8,5,2,0,8
42,2023-01-05,8,4,4,0,5
12,2023-01-06,1,9,3,0,5
16,2023-01-07,7,5,9,0,8
87,2023-01-08,4,7,2,0,10
43,2023-01-09,3,4,9,0,6
93,2023-01-10,8,2,8,0,9
96,2023-01-11,4,6,2,0,9
76,2023-01-12,7,4,10,1,7
4,2023-01-13,10,8,6,1,5
12,2023-01-14,3,10,5,0,7
2,2023-01-15,1,7,6,0,6
69,2023-01-16,3,3,4,0,8
18,2023-01-17,8,3,2,1,5
24,2023-01-18,10,10,4,0,5
14,2023-01-19,2,3,1,1,1
18,2023-01-20,8,10,10,1,4
76,2023-01-21,1,9,1,1,4
41,2023-01-22,6,2,1,1,2
18,2023-01-23,1,3,1,1,4
35,2023-01-24,9,10,9,1,9
77,2023-01-25,7,8,10,0,3
70,2023-01-26,1,3,7,0,4
38,2023-01-27,8,10,2,0,9
6,2023-01-28,2,4,10,0,6
69,2023-01-29,3,10,5,1,6
9,2023-01-30,7,6,1,1,6
56,2023-01-31,3,2,1,0,2
