ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_SEKCJA NADRZĘDNA,ID_SEKCJA,NAZWA_SEKCJI,LP.,TREŚĆ
91,2023-01-01,9,2,4,3,char,3,char
95,2023-01-02,10,4,1,2,char,4,char
65,2023-01-03,1,4,1,5,char,4,char
80,2023-01-04,5,6,7,7,char,7,char
96,2023-01-05,10,5,9,9,char,6,char
100,2023-01-06,5,5,6,7,char,7,char
88,2023-01-07,4,8,4,10,char,10,char
86,2023-01-08,2,8,8,6,char,10,char
99,2023-01-09,2,1,5,2,char,7,char
50,2023-01-10,8,10,10,4,char,8,char
67,2023-01-11,5,4,5,10,char,3,char
91,2023-01-12,1,1,4,1,char,9,char
85,2023-01-13,1,4,2,4,char,9,char
59,2023-01-14,2,9,9,3,char,6,char
27,2023-01-15,2,8,7,5,char,9,char
42,2023-01-16,6,1,7,2,char,3,char
67,2023-01-17,10,10,4,6,char,9,char
99,2023-01-18,1,10,8,6,char,5,char
99,2023-01-19,10,6,6,5,char,7,char
50,2023-01-20,9,4,4,1,char,7,char
58,2023-01-21,7,8,10,8,char,5,char
23,2023-01-22,2,10,1,4,char,2,char
26,2023-01-23,9,1,2,4,char,1,char
52,2023-01-24,9,9,10,2,char,9,char
74,2023-01-25,3,5,7,5,char,6,char
82,2023-01-26,2,7,2,7,char,2,char
70,2023-01-27,10,8,4,5,char,1,char
16,2023-01-28,5,9,3,3,char,10,char
84,2023-01-29,10,3,1,4,char,4,char
4,2023-01-30,6,4,9,6,char,3,char
55,2023-01-31,10,8,4,2,char,10,char
