ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,FORMULARZ,WIERSZ,KOLUMNA,TRZECI WYMIAR KRAJ,WARTOŚĆ
95,2023-01-01,4,2,char,char,char,char,51.757550444278166
55,2023-01-02,9,10,char,char,char,char,44.475017686652045
82,2023-01-03,3,7,char,char,char,char,46.55228510016237
55,2023-01-04,8,2,char,char,char,char,8.635822550444317
28,2023-01-05,9,10,char,char,char,char,12.360809433611722
86,2023-01-06,1,1,char,char,char,char,65.6941482625318
87,2023-01-07,2,2,char,char,char,char,76.01549597074994
66,2023-01-08,7,1,char,char,char,char,35.28660488549716
11,2023-01-09,7,9,char,char,char,char,4.704647019593974
95,2023-01-10,3,7,char,char,char,char,19.349218336384858
62,2023-01-11,9,4,char,char,char,char,33.032437665830756
89,2023-01-12,1,6,char,char,char,char,74.51179050350268
96,2023-01-13,10,7,char,char,char,char,54.286851479715615
56,2023-01-14,10,2,char,char,char,char,75.05484357776774
14,2023-01-15,3,6,char,char,char,char,39.068639270840144
91,2023-01-16,10,6,char,char,char,char,11.190125922567457
81,2023-01-17,10,6,char,char,char,char,89.61151491022245
99,2023-01-18,9,6,char,char,char,char,30.348818525628545
45,2023-01-19,9,4,char,char,char,char,73.48128167457294
35,2023-01-20,4,9,char,char,char,char,45.9282037048568
98,2023-01-21,9,8,char,char,char,char,42.45929596583756
25,2023-01-22,6,8,char,char,char,char,97.06053327509176
2,2023-01-23,5,6,char,char,char,char,4.901414575212003
68,2023-01-24,5,3,char,char,char,char,88.63586843209316
15,2023-01-25,5,2,char,char,char,char,69.15810577457505
77,2023-01-26,1,1,char,char,char,char,91.14080081341417
7,2023-01-27,1,6,char,char,char,char,63.59874173946251
83,2023-01-28,6,10,char,char,char,char,14.747736057037754
80,2023-01-29,3,10,char,char,char,char,76.71078169229229
13,2023-01-30,5,9,char,char,char,char,75.06857243118644
19,2023-01-31,7,9,char,char,char,char,59.57793175510937
