ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_PYTANIA,CZY WYSTĄPIŁ KLUCZ (0/1),LICZBA WYSTĄPIEŃ KLUCZY
49,2023-01-01,2,4,5,1,10
39,2023-01-02,9,8,9,0,1
20,2023-01-03,10,8,8,1,7
23,2023-01-04,6,5,9,1,9
92,2023-01-05,3,10,6,0,1
26,2023-01-06,8,10,2,0,7
93,2023-01-07,8,1,3,0,2
20,2023-01-08,5,1,8,0,1
89,2023-01-09,6,4,8,1,6
17,2023-01-10,3,9,3,1,3
21,2023-01-11,5,9,6,0,1
63,2023-01-12,1,5,5,0,9
69,2023-01-13,8,9,5,0,3
94,2023-01-14,7,10,1,1,1
83,2023-01-15,2,5,5,0,4
62,2023-01-16,5,2,7,0,5
76,2023-01-17,6,3,1,1,4
99,2023-01-18,4,4,3,1,9
63,2023-01-19,10,6,7,1,4
16,2023-01-20,6,4,4,0,1
9,2023-01-21,4,4,10,1,4
51,2023-01-22,1,3,6,0,6
68,2023-01-23,4,8,10,1,7
98,2023-01-24,10,9,4,1,2
76,2023-01-25,8,8,1,0,7
30,2023-01-26,6,3,9,1,6
78,2023-01-27,1,2,9,1,2
67,2023-01-28,2,7,6,0,10
9,2023-01-29,1,6,1,1,8
78,2023-01-30,7,9,2,0,9
29,2023-01-31,8,2,7,1,2
