ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_SEKCJA NADRZĘDNA,ID_SEKCJA,NAZWA_SEKCJI,LP.,TREŚĆ
35,2023-01-01,7,2,2,2,char,8,char
95,2023-01-02,2,8,5,3,char,2,char
61,2023-01-03,10,4,6,10,char,2,char
86,2023-01-04,7,8,6,2,char,5,char
70,2023-01-05,6,7,5,4,char,10,char
55,2023-01-06,6,1,10,10,char,6,char
22,2023-01-07,5,8,2,1,char,1,char
81,2023-01-08,7,8,8,2,char,5,char
5,2023-01-09,6,7,3,1,char,5,char
20,2023-01-10,9,5,1,4,char,10,char
66,2023-01-11,10,10,2,5,char,1,char
91,2023-01-12,1,10,7,7,char,5,char
10,2023-01-13,2,8,9,5,char,4,char
16,2023-01-14,2,10,3,8,char,9,char
45,2023-01-15,7,3,4,8,char,2,char
46,2023-01-16,7,3,3,1,char,1,char
75,2023-01-17,4,1,6,1,char,10,char
48,2023-01-18,6,6,3,1,char,6,char
80,2023-01-19,10,4,6,2,char,4,char
76,2023-01-20,6,6,6,5,char,5,char
70,2023-01-21,4,8,7,10,char,3,char
67,2023-01-22,1,8,4,1,char,4,char
26,2023-01-23,2,1,7,8,char,6,char
33,2023-01-24,6,7,5,9,char,5,char
40,2023-01-25,5,4,3,10,char,6,char
6,2023-01-26,10,9,8,10,char,3,char
75,2023-01-27,4,5,10,10,char,10,char
30,2023-01-28,6,2,8,5,char,10,char
97,2023-01-29,10,7,8,4,char,4,char
66,2023-01-30,7,9,1,4,char,9,char
13,2023-01-31,8,9,10,10,char,8,char
