ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_PYTANIA,CZY WYSTĄPIŁ KLUCZ (0/1),LICZBA WYSTĄPIEŃ KLUCZY
21,2023-01-01,2,7,6,0,9
37,2023-01-02,3,6,6,0,1
25,2023-01-03,6,6,10,1,5
37,2023-01-04,3,4,9,1,3
18,2023-01-05,7,7,5,0,2
21,2023-01-06,6,4,8,0,4
4,2023-01-07,1,7,4,0,10
1,2023-01-08,10,6,1,1,1
32,2023-01-09,2,9,7,0,8
38,2023-01-10,10,1,7,0,8
41,2023-01-11,2,7,9,0,4
17,2023-01-12,4,9,1,1,6
48,2023-01-13,2,9,7,1,3
23,2023-01-14,4,9,7,0,9
94,2023-01-15,2,5,1,1,6
67,2023-01-16,5,6,6,1,4
49,2023-01-17,5,1,10,1,10
69,2023-01-18,10,3,1,0,4
80,2023-01-19,5,8,10,1,7
21,2023-01-20,7,9,10,1,3
8,2023-01-21,5,7,9,1,3
85,2023-01-22,4,3,3,1,7
31,2023-01-23,4,5,5,1,5
32,2023-01-24,7,8,7,0,5
22,2023-01-25,3,5,7,1,3
58,2023-01-26,7,8,2,0,9
41,2023-01-27,1,5,5,0,3
81,2023-01-28,2,10,3,1,1
42,2023-01-29,2,1,7,1,2
5,2023-01-30,4,1,7,0,7
68,2023-01-31,3,5,10,0,2
